I tê	You're small
Ka hnên aṭangin kalbo rawh!	Let go of me!
Khawngaihin hmanhmawh rawh!	Please hurry!
A entirna min hmuh tir rawh	Show me a sample
Thil harsa tak tih tur a ni	Tough thing to do
Chu list-ah chuan ka tel em?	Am I on that list?
Ka rawn zawm ve thei ang em?	Can I join in?
Sangi chu i hmu tawh reng em	Have met Sangi
Chair pakhatah chuan a thu a	He sat on a chair
Damdawi thiam pakhat a hmu a	He saw a physician
Dan pakhat a bawhchhia a ni.	He violated a law.
Ka hnuaiah hna a thawk thin.	He works under me.
Ka thianpa pakhat ka call a.	I called a friend.
Chu chu ka chhang thei a ni.	I can answer that.
Vawiin hian ka ti thei a ni.	I can do it today.
Chu chu ka verify thei a ni.	I can verify that.
Khatiang kha ka ring reng a.	I do think so.
Chu show chu nuam ka ti hle.	I enjoy that show.
Dâwt ka hrilh che a nih kha.	I lied to you.
Lemon tea hi ka duh ber a ni	I like lemon tea
Ka case chu ka chawlh tir a.	I rest my case.
Kan ni ngei ang tih ka ring.	I suppose we are.
Amah kha engmah mah ngai suh	Ignore him
Awle, hlimtakin awm dawnnia.	Okay, have a fun.
Khawngaihin min pek tir rawh	Please let me pay
Anmahni hi ka zawt tur em ni	Should I ask them
Chu chu tihtawp a ngai a ni.	That has to stop.
Tin, chhinchhiahna ka hmu a.	And I saw a sign.
Amah ngaihsak lo tum ang che	Try to ignore him
Chutiang chu kan ti tlem hle	We seldom do that
Chu chu a nuam dawn lo em ni	Won't that be fun
Paper eng pawh a ti thei ang.	Any paper will do.
Khapa khân mi hmu thei ang em	Can he see me
Amah chu kan biak thei ang em	Can we talk to him
Hnathawh tur chuan a khalh a.	He drives to work.
Eizawnna a hlawh chhuak thin.	He earns a living.
Khapa khân anmahni a hmangaih	He loves them
Engtin nge kan hrilhfiah ang?	How to explain it?
Ka client te hi ka adore thin	I adore my clients
Chu hmun chu ka adore hle mai	I adore that place
An pahnih hian ka duh ve ve a	I liked them both
Ngaihtuahna min neih tir a ni	It made me think
Chuti a nih chuan i tan ang u	Let us begin then
I chin kha han dah sang rawh.	Put your chin up.
Chutiang chu kan ti tur em ni	Should we do that
Chu chuan eng nge a tih theih	What can that do
Khawiah nge Karen-i hi a awm?	Where's Karen?
Midangte chungah ngilnei rawh.	Be nice to others.
Vawiin hian ka ti thei ang em?	Can I do it today?
Ka insawn theih nan min pui a.	He helped me move.
Sumdawnna lamah a awm mek a ni	He is in business
Tunah hian a ti ngei tur a ni.	He must do it now.
Chutiang chuan a thinrim a ni.	He was that angry.
Engtin nge chu chu a nih theih	How could that be
An pahnih hian ka ngaisang hle	I admire them both
Mawhpuh tur chu keimah ka nia.	I am to blame.
French tawngin ka mumang a ni.	I dream in French.
Ka thil tih hi nuam ka ti hle.	I enjoy what I do.
Eng pawh nise a nuam khawp mai	It was fun anyway
Chuvangin chutiang chu ti suh.	So don't do that.
Chu chuan mak min ti khawp mai	That surprises me
Hei hi keini pawh kan ni thei.	This could be us.
Tin, chu chu ka duh khawp mai.	And I like that.
Tom chuan Mary tlu chu a hmu a	Tom saw Mary fall
Anmahni chu kan ring thei a ni	We can trust them
Tunah hian kan tih a ngai a ni	We must do it now
Chu match chu kan chak ta a ni	We won that match
Amah chu nghet takin khuh rawh	Wrap him up tight
An hnenah chuan note ziak rawh	Write them a note
Anmahni chu i ti beidawng a ni	You let them down
Mi dangte chungah ngilnei rawh.	Be kind to others.
Khapa khân min hmu thei ang em?	Can he see us?
Anmahni hi kan ring thei ang em	Can we trust them
Mari chu ka hmangaihna pe rawh.	Give Mary my love.
Chutiang chu ka ti ta mai a ni.	I almost did that.
Lawng khalhtu tha lo tak ka ni.	I am a bad sailor.
Chatuan atan ka buai reng a ni.	I am forever busy.
Anmahni chu ka outsmart ta a ni	I outsmarted them
Amah chu ka bun tir mai teh ang	Let me put him on
Zu rui pakhat chuan min rawk a.	A drunk robbed me.
Chu ngaihtuahna chu bansan rawh.	Give up that idea.
A thubuai chu a tlanpui ta a ni.	He ran his trial.
Hei hetah hian idea pakhat a awm	Hey here's an idea
Vawiin hian ka lo kal dawn a ni.	I am coming today.
Chu chu ka lo beisei lawk tawh a	I anticipated that
School lam panin ka tlan phei a.	I drove to school.
Amah tanpui turin ka hmu ta a ni	I got him to help
Ka glasses chu min rawn pe rawh.	Get me my glasses.
Minute khat tal min ngaidam rawh	Excuse me a minute
Chutiang chu kan sawi thei a ni.	We can say that.
Hmanhmawh zet hian a chhuak ta a.	He left in a rush.
Khapa khân kan bulah dawt a sawi.	He lied to us.
Ka fiamthu te hi a duh khawp mai.	He likes my jokes.
A tha e. Kei pawhin ka ti ve tho.	Okay. I do too.
Chuta chung lamah chuan i hmu em?	See it up there?
Tin, chutah chuan ka chhuak ta a.	And then I left.
Tom pawhin Mary chu a hmu ve bawk	Tom saw Mary too
Chu car chhungah chuan tu nge awm	Who's in that car
Dan chu Mexico ramah a tlanchhia a	Dan fled to Mexico
Ka hna hi tha takin ka thawk thin.	I do my work well.
An pahnih hian ka hmangaih em em a	I loved them both
Chutih lai chuan a chau ta hle mai.	He was tired then.
Amah ang bawk hian ka upa tawh a ni	I am as old as he
Chutiang chuan ti rawh, i ti ang em?	Do that, will you?
Italy ramah hian hlim takin awm rawh	Have fun in Italy
Hetah hian thudik hlimawm tak a awm.	Here's a fun fact.
Chu chu engtin nge ka siam that ang?	How do I fix that?
Khualzinte kan hnenah an rawn kal a.	Guests came to us.
Tu nge ka nih a hre chiang khawp mai.	He knows who I am.
Lawng khalhtu pakhat a chhanchhuak a.	He saved a sailor.
Hei, lawmthu ka sawi tak meuh meuh a ni.	Hey, thanks a lot.
Engtin nge kan dam khawchhuah theih ang?	How do we survive?
Tunah chuan chu chu ka ti thei tawh ang.	I can now do that.
Mipa naupang pakhat chuan min rawn bia a.	A boy spoke to me.
Anmahni zawng chhuak turin min pui ang che	Help me find them
Chumi chungchangah chuan rang takin awm rawh.	Be quick about it.
Nang ka auh che nîah khan i lo hnai a, hlau suh u, i ti a.	You came near in the day when I made my prayer to you: you said, Have no fear.
Amaherawhchu sa a nunna a thisen chawpin in ei tûr a ni lo.	But flesh with the life-blood in it you may not take for food.
A tha zawk e hming tha, hriak to aiin, Pian ni aiin thih ni.	A good name is better than oil of great price, and the day of death than the day of birth.
Ni rah chhuah thil hlu tein, Thlaten thil hlu a chhuah tein,	And the good things of the fruits of the sun, and the good things of the growth of the moons,
mihring chu hmeichhia, mipa la pâwl ngai loh 32,000 an ni a.	And thirty-two thousand persons, that is, women who had never had sex relations with a man.
An hlauh em em avangin sawi tur ahleih pawh an hre si lo va.	Because he was not certain what to say, for they were in great fear.
Juda hnam chu a thlang ta zawk a, A hmangaih Zion tlâng chu.	But he took the tribe of Judah for himself, and the mountain of Zion, in which he had pleasure.
Nimahsela, aw LALPA, ka ring chia: Ka Pathian i ni, ka ti a.	But I had faith in you, O Lord; I said, You are my God.
Thenkhatin an nuihsan a, Uain thar an rui a nih hi, an ti a.	But others, making sport of them, said, They are full of new wine.
Puithiam lalten itsikna avangin an rawn hruai tih a hre si a	For he saw that the chief priests had given him up through envy.
hriatna chu an huat a, LALPA tihna chu an thlan loh avângin:	For they were haters of knowledge, and did not give their hearts to the fear of the Lord:
Rul tûr chu a fawp ang a, Rulrial tûr chuan amah a that ang.	He takes the poison of snakes into his mouth, the tongue of the snake is the cause of his death.
A chakna atamchhawl ang a, A kiangah chhiatna a inpeih reng.	His strength is made feeble for need of food, and destruction is waiting for his falling footstep.
Mi dova, mi hual veltu, Mi singkhat pawh hi ka hlau lo vang.	I will have no fear, though ten thousand have come round me, putting themselves against me.
Tin, a nu leh a pa chuan, Hei hi kan fapa a ni tih kan hria;	In answer his father and mother said, We are certain that this is our son and that he was blind at birth:
An chhûng khawsak dan a en tha a, Dawngdahna chhâng a ei lo.	She gives attention to the ways of her family, she does not take her food without working for it.
Tin, zirtirte chuan a tih bik an hre lo va, an inen hlawm a.	Then the eyes of the disciples were turned on one another, in doubt as to whom he had in mind.
Ni hnuaia thil pawi tak ka hmuh chu, mahni tana sum khawl a,	There is a great evil which I have seen under the sun--wealth kept by the owner to be his downfall.
LALPAN a mite a chhanhim,' tiin La piang tûrte an hrilh ang.	They will come and make his righteousness clear to a people of the future because he has done this.
Thih chak êm êm a, hmu si l, Ro phûm zawn aia nasaa zawngtu,	To those whose desire is for death, but it comes not; who are searching for it more than for secret wealth;
Thinrimin i ûm ang a, LALPA van hnuai ata chu i tiboral ang.	You will go after them in wrath, and put an end to them from under the heavens of the Lord.
Tin, Ahaba thih hnuin Moab-ho chu Israel-te chungah an hel a.	After the death of Ahab, Moab made itself free from the authority of Israel.
Tin, Chu mihring chu ka hre lo, tiin chhechhamin a pha leh a.	And again he said with an oath, I have no knowledge of the man.
Tin, in atân chuan tukverh zimte thil kawkalh awmin a siam a.	And for the house he made windows, with network across.
LALPA zawn nân a rilru a hman loh avângin thil tha lo a ti a.	And he did evil because his heart was not true to the Lord.
Heng hi Pereza thlahte an ni; Pereza chuan Hezrona a hring a;	And Hezron became the father of Ram, and Ram became the father of Amminadab;
Tichuan Hjephthan Amona thlahte lal hnênah palai a tir leh a:	And Jephthah sent again to the king of the children of Ammon,
Tunah zawng an hla ka lo ni ta, A ni, an kamram mai ka ni ta.	And now I have become their song, and I am a word of shame to them.
Aser-ho zinga mi , râl bei tlâk thiau tan khawh thiam 40,000.	And of Asher, forty thousand who went out with the army, expert in ordering the fight.
Tin, Thlarau chuan ani chu thlalerah a tir chhuak ta nghal a.	And straight away the Spirit sent him out into the waste land.
Tin, Odeda fapa Azaria chungah Pathian thlarau a lo thleng a;	And the spirit of God came on Azariah, the son of Oded;
Tin, a hekna lehkha a chung lamah an ziak a, JUDATE LAL tiin.	And the statement of his crime was put in writing on the cross, THE KING OF THE JEWS.
a hmel an hmu ang a, a hming chu an chalah a chuang bawk ang.	And they will see his face; and his name will be on their brows.
Tin, in chhuahtir hunchuan kutbengin in chhuahtir tur ani lo;	And when you make him free, do not let him go away with nothing in his hands:
Pathianin eng nge a hriat? Thim chhah danah a rel thei êm ni?	And you say, What knowledge has God? is he able to give decisions through the deep dark?
Tin, Zakarian a hmuh veleh a mangang a, hlauh pawh a hlau va.	And Zacharias was troubled when he saw him, and fear came on him.
Melkisedekan a lo hmuah lai khan a pa thalbeah a la awm si a.	Because he was still in his father's body when Melchizedek came to him.
Tin, chu mi thu chu tumah hrilh loh tur ti tlatin thu a pe a;	But he gave them special orders, not to say this to any man;
Unau daikilkara mi chu chawimawia a awm avangin lawm rawh se;	But let the brother of low position be glad that he is lifted up;
Nimahsela Pathian mi Semaia hnênah Pathian thu a lo thleng a,	But the word of God came to Shemaiah, the man of God, saying,
Tin, a darhte chu khaw tinah an kal a, thu chu an hril zel a.	But those who had gone in flight went everywhere preaching the word.
Sual ngam chein awm suh la, thatnain sual chu ngam zawk rawh.	Do not let evil overcome you, but overcome evil by good.
Hei hi dikah i ngai êm, Pathian hmaah ka fel a ni,' i tih hi?	Does it seem to you to be right, and righteousness before God, to say,
Thing tin rah tha lo apiang chu an kit a, meiah an paih thin.	Every tree which does not give good fruit is cut down and put in the fire.
Nilengin sawisakin ka awm a, Tuk tin, zilhhauvin ka awm si a.	For I have been troubled all the day; every morning have I undergone punishment.
Pathian rel zawng zawng azain in hnenah hrilh ka tim loh kha.	For I have not kept back from you anything of the purpose of God.
Mahse, nangin ka pente i chhia a, Ka sual i enthla lo vem ni?	For now my steps are numbered by you, and my sin is not overlooked.
LALPA chanvo chu a mite an ni a; Jakob-ho chu a rochan an ni.	For the Lord's wealth is his people; Jacob is the land of his heritage.
Ching, fa hring lo chu a ei a, Hmeithai thil tha a tihsak lo.	He is not kind to the widow, and he has no pity for her child.
Arsi tam chin a chhiar a; An hming a vuah theuh hlawm thin a.	He sees the number of the stars; he gives them all their names.
Mi â thuchatu chu ama ke atân a ni a, Ama chhiatna a in a ni.	He who sends news by the hand of a foolish man is cutting off his feet and drinking in damage.
A kut veilam chu ka lukhama'n A kut dinglamin mi pawm teh se!	His left hand would be under my head, and his right hand about me.
I mawizia leh lung i tihawizia, Aw hmangaih, lawmnate zingah!	How beautiful and how sweet you are, O love, for delight.
Thu dik chu a chak êm êm! mahse, in thu hian eng nge a thawh?	How pleasing are upright words! but what force is there in your arguments?
Demawm lo ka ni, ka inngai sâng lo; Ka nun hi ka hmusit a ni.	I have done no wrong; I give no thought to what becomes of me; I have no desire for life.
In hnena ka la awm chhung hian heng thu hi ka hrilh che u hi.	I have said all this to you while I am still with you.
Awm dan rinawm ka thlang a: I rorêlnate ka hmaah ka awmtir a.	I have taken the way of faith: I have kept your decisions before me.
Ka thu chu ahmaah ka thlena ng a, Ka ka tanfungin a khat ang.	I would put my cause in order before him, and my mouth would be full of arguments.
A hmun ata tihbo a nihin, Ka hmu ngai lo che, tiin aphat ang.	If he is taken away from his place, then it will say, I have not seen you.
A nan tûr chein chhum ata Ruahpi vanawn i au thla thei êm ni?	Is your voice sent up to the cloud, so that you may be covered by the weight of waters?
Thuin ka inhri thla dawn e, Ka ka ka ang ang a, ka chang ang.	Let me say what is in my mind, so that I may get comfort; let me give answer with open mouth.
I thinlungin a mawina it suh la, A meng novin hip che suh se,	Let not your heart's desire go after her fair body; let not her eyes take you prisoner.
LALPA leh a chakna chu zawng ula; A hmêl chu zawng fo rawh u.	Let your search be for the Lord and for his strength; let your hearts ever be turned to him.
Kut chak lote chu tichak ula, khup zawite chu tinghet rawh u.	Make strong the feeble hands, give support to the shaking knees.
LALPA malsawm dawngtu in ni. Ani chu lei leh van siamtu a ni.	May you have the blessing of the Lord, who made heaven and earth.
I rorêlna lakahte chuan ka peng lo; Nangin mi zirtir avângin.	My heart has not been turned away from your decisions; for you have been my teacher.
Ka fapa, ka finna ngaithla la, Ka hriatnaah i beng dawh rawh,	My son, give attention to my wisdom; let your ear be turned to my teaching:
Tin, zingah khawpui lama a kir leh laiin a ril a lo tam ta a.	Now in the morning when he was coming back to the town, he had a desire for food.
Tin, puithiam lalte chu Lazara pawh tihlum turin an inrawn a;	Now there was talk among the chief priests of putting Lazarus to death;
Tin, Isua Bethani khuaah, phar Simona inah chuan a awm laiin,	Now when Jesus was in Bethany in the house of Simon the leper,
Mi ate u, pawn lam siamtuin chhung lam pawh a siam lo vem ni?	O you foolish ones! did not he who made the outside in the same way make the inside?
Aw, a chhiahhlawh Israela thlahho,Jakoba thlah, a thlanate u.	O you seed of Israel his servant, you children of Jacob, his loved ones.
In intuamna puan chu a tlâng pali-ah fem in neihtir tur a ni.	On the four edges of your robe, with which your body is covered, put ornaments of twisted threads.
Nghâwnga manin kan awm a; kan chau va chawlh rêng kan nei lo.	Our attackers are on our necks: overcome with weariness, we have no rest.
Aw LALPA, i eng a thawl e; I thuruatte chu mi zirtir ang che.	Praise be to you, O Lord: give me knowledge of your rules.
A kawngkaah a thu thin a, Khua hmun sângtea thutphahah chuan,	Seated at the door of her house, in the high places of the town,
Chutichuan an ei a, an puar hle a; An chaka chu a pe ta a ni.	So they had food and were full; for he gave them their desire;
Tichuan LALPA thu ang zelin hren chu ka lei a, ka hreng ta a.	So, as the Lord said, I got a band for a price and put it round my body.
lal Ahasuera a ram lalthutthleng lal khua Susan-a a thut lai,	That in those days, when King Ahasuerus was ruling in Shushan, his strong town,
Vante chuan a khawlohna an puang ang a, Leiin amah a do vang.	The heavens make clear his sin, and the earth gives witness against him.
Levi-hote : - Hodeva thlaha mi Jesua leh Kadmiela thlahte 74.	The Levites: the children of Jeshua, of Kadmiel, of the children of Hodevah, seventy-four.
LALPA chuan thil ropui takte min tihsak a; Kan lawm hle a ni.	The Lord has done great things for us; because of which we are glad.
LALPA chu amah nghaktute tan a țha a, amah zawngtu tan chuan.	The Lord is good to those who are waiting for him, to the soul which is looking for him.
Mi suaksual chuan mi fel chu a en thla a, Tihhlum a tum thin.	The sinners are watching the upright man, desiring to put him to death.
In satute lung duh loh kha A kila lung tangkai ber alo ni ta.	The stone which the builders put on one side has become the chief stone of the building.
Riltam leh tuihalin An nunna hchu an kawchhûngah a chau ta a.	Their souls became feeble for need of food and drink.
An beisei tak a, an hlawhchham a, An va kal a, an hrilhhai a.	They were put to shame because of their hope; they came and their hope was gone.
Gersona thlahho chanpual chu rawngbawl lam le phurh lam a ni:	This is to be the work of the Gershonites, the things they are to do and take up.
A nuam ngei mai tak e, eng chu, Mi ttan pawh ni hmuh a tha e,	Truly the light is sweet, and it is good for the eyes to see the sun.
A ni, hriatna i auh va, Hriat thiam theihna pawh i auh chuan,	Truly, if you are crying out for good sense, and your request is for knowledge;
Asterat mi Uzia te, Aroer mi Hothama fapa Sama leh Jeiela te;	Uzzia the Ashterathite, Shama and Jeiel, the sons of Hotham the Aroerite,
Rangkachak thirhrui ka siam ang che, Tangkaraw belmawi neiin.	We will make you chains of gold with ornaments of silver.
A silhfen atân chhum ka siam a, A tuam puanah thim chhah tak;	When I made the cloud its robe, and put thick clouds as bands round it,
Thlan an hmuha lawm a, nasa taka hlim êm êm tûr hnênah chuan?	Who are glad with great joy, and full of delight when they come to their last resting-place;
Lei a hmunah a sawi nghing a, A bante chu a nghing dur dur a.	Who is moving the earth out of its place, so that its pillars are shaking:
A hnênah chakna leh finna a awm a, Bum leh bumtu a ta nân ni.	With him are strength and wise designs; he who is guided into error, together with his guide, are in his hands;
Mipuite zîngah hian bawlhlawh leh hnawmhnawkah min siam ta a.	You have made us like waste and that for which there is no use, among the peoples.
Thinlung sak i neihtîr ang a, i ânchhia an chungah a tla ang.	You will let their hearts be covered over with your curse on them.
Chutichuan he ram hi Israel hnam athuin in zingah in sem ang.	You will make a division of the land among you, tribe by tribe.
I hnute pahnih hian a ang, no pahnih, Sazain phir a neih kha.	Your two breasts are like two young roes of the same birth.
Hretu der dawt sawi thin te, Unau kara inrem lohna tuhtute hi.	A false witness, breathing out untrue words, and one who lets loose violent acts among brothers.
Mi tlâktlai lo, mi khawlo chu, Țawng chaltlai nên a vâk vêl a;	A good-for-nothing man is an evil-doer; he goes on his way causing trouble with false words;
Tichuan Abrahama chu Philistin-ho ramah chuan rei tak a awm a.	And Abraham went on living in the land of the Philistines as in a strange country.
Tin, a in thenfai hnuah a tan ni sarih chhiarsak leh tûr a ni.	And after he has been made clean, seven days are to be numbered for him.
tin, Ahituban Zadoka a hring a, tin, Zadokan Saluma a hring a;	And Ahitub was the father of Zadok, and Zadok was the father of Shallum,
Tin, Barnaban Johana Marka an tih chu an hnenah hruai a tum a,	And Barnabas had a desire to take with them John, named Mark.
Tin, ni thum khaw hmu lovin a awm a, engmah a eiin a in lo va.	And for three days he was not able to see, and he took no food or drink.
Puan thisen kai a sin a; a hmingah chuan Pathian Thua an ti a.	And he is clothed in a robe washed with blood: and his name is The Word of God.
Tin, hmeichhe hnenah chuan, I sualte ngaihdam a ni ta, a ti a.	And he said to her, You have forgiveness for your sins.
Mi dang an rim loh va, nangni in rimna turin ka ti a ni lo va,	And I am not saying this so that others may get off free, while the weight comes on you:
tin, Araba sir hmar lampangah a kal zel a, Araba-ah a chhuk a:	And it goes on to the side facing the Arabah to the north, and down to the Arabah;
Tin, an dak chhuak a, Isua chauh lo chu tumah an hmu ta lo va.	And lifting up their eyes, they saw no one, but Jesus only.
Tin, a thenin a thusawi chu an ring a, a thenin an ring lo va.	And some were in agreement with what he said, but some had doubts.
Thilhlan zawng zawng chu bâwngpa zaruk, berâmpa sângthum a ni.	And the holy things were six hundred oxen and three thousand sheep.
Thu hriltute thlaraute chu thu hriltute thu thuin an awm a ni.	And the spirits of the prophets are controlled by the prophets;
Tin, uain, murra nena pawlh an pe a, nimahsela a la duh lo va.	And they gave him wine mixed with myrrh; but he did not take it.
remna Chanchin Tha inbuatsaihna chu in keah bunin ding rawh u;	Be ready with the good news of peace as shoes on your feet;
Zion tlâng chu a țiau tâk avângin, Sihalte a chhûngah an lêng.	Because of the mountain of Zion which is a waste; jackals go over it.
Melkisedeka awm dan anga Puithiam Lalberah Pathianin a vuah a.	Being named by God a high priest of the order of Melchizedek.
Nimahsela i hnênah ngaihdamna a awm a ni, Tiha i awm theih nân	But there is forgiveness with you, so that you may be feared.
Nimahsela Finna chu a rah atangin a dikzia a lang a ni a ti a.	But wisdom is judged to be right by all her children.
Nimahsela in awih si lo, ka beram zinga mi in nih loh avangin.	But you have no belief because you are not of my sheep.
Hawisan suh la, a humhim ang che; Hmangaih la, a veng ang che.	Do not give her up, and she will keep you; give her your love, and she will make you safe.
Hlauhna leh khuarkhurumin mi nang a, chhiatna leh boralna nên.	Fear and deep waters have come on us, wasting and destruction.
tawngkam thaa thlahtu chu a thiltihsualah chuan a tel ve si a.	For he who gives him words of love has a part in his evil works.
Thu lah ka ngah hle si a, Chhûng lam rilruin mi tûr nasa a ni.	For I am full of words, I am unable to keep in my breath any longer:
Ka nghawngkawl chu a nuam a, ka phur pawh a zang a ni, a ti a.	For my yoke is good, and the weight I take up is not hard.
A ate chuan an khawvarte an kenin, a tui an keng tel si lo va;	For the foolish, when they took their lights, took no oil with them.
Thilmaka an tihdama chu kum sawmli aia tam zawk mah a ni si a.	For the man on whom this act of power was done was more than forty years old.
A thlarau chunga an hel a, A hmuia tha lo taka a sawi avângin.	For they made his spirit bitter, and he said unwise things.
Aw Pathian, nangin mi fiah a: Tangkaraw fiah angin min fiah a.	For you, O God, have put us to the test: testing us by fire like silver.
Mi zirtir ula, ka ngawi ang e; Ka bona lai mi hriattir rawh u.	Give me teaching and I will be quiet; and make me see my error.
Zirtirna lamah i rilru nghat la, I beng chu hriatna thu lamah.	Give your heart to teaching, and your ears to the words of knowledge.
Tuman chu chu an at khâwm lova Tuman seng tûrin an tel hek lo.	He who gets in the grain has no use for it; and they do not make bands of it for the grain-stems.
A taksa chu thauvin a khat a, A ruh thling pawh a hnawng a ni.	His buckets are full of milk, and there is no loss of strength in his bones.
A thinurna ka chungah a mut kai a, A hmêlma angah mi chhiar a.	His wrath is burning against me, and I am to him as one of his haters.
In tan tha ka seng thlawn dah law maw tih ka hlauhsak a che u.	I am in fear of you, that I may have been working for you to no purpose.
Mi thatchhe lovah ka kal a, Hriatna nei lo mi grêp huanah nên;	I went by the field of the hater of work, and by the vine-garden of the man without sense;
Keima pualin ka chang ang a, Ka ngaih dan ka han sawi teh ang.	I will give my answer; I will put forward my knowledge:
Fahrahin ka kalsan lo vang che u; in hnenah ka lo kal leh ang.	I will not let you be without a friend: I am coming to you.
mitthi zing ata thawhlehna chu ka chang thei hram mahna, tiin.	If in any way I may have the reward of life from the dead.
Tunge thianghlim lo ata Thianghlim la chhuak thei le? Tumahin.	If only a clean thing might come out of an unclean! But it is not possible.
Chutichuan chibai mi buk la, a zain i ta a ni vek ang, a ti a.	If then you will give worship to me, it will all be yours.
Nangnin ka hmingin engpawh mi dil chuan chu chu ka ti zel ang.	If you make any request to me in my name, I will do it.
Kan nau hi kan hnênah i tîrh chuan buh kan zuk leisak ang che;	If you will let our brother go with us, we will go down and get food:
Chhun engah thim an tawk a, Chhun laiah zan angin an dap thin.	In the daytime it becomes dark for them, and in the sunlight they go feeling about as if it was night.
Tin, Nova chu lo neituah a awm tan a, grep hrui huan a siam a:	In those days Noah became a farmer, and he made a vine-garden.
An pai chhûng thla zat i chhiarin, An hrin hunte i hria êm ni?	Is the number of their months fixed by you? or is the time when they give birth ordered by you?
Mi liante rin ai chuan LALPA-a rinna nghah hi a tha zawk a ni.	It is better to have faith in the Lord than to put one's hope in rulers.
Ka hmuiin a sawi a, Manganga ka awm laia ka kain a sawite chu.	Keeping the word which came from my lips, and which my mouth said, when I was in trouble.
I mi rethei chu a thubuaiah dik lo takin I rêlsak tûr a ni lo.	Let no wrong decisions be given in the poor man's cause.
In pi leh puten hma khawsânga Ramri an lo kham chu sawn suh u.	Let not the old landmark be moved which your fathers have put in place.
Nangmah ngeiin ka rilru i nei a: Ka nu pum chhûngah mi khuh a.	My flesh was made by you, and my parts joined together in my mother's body.
Anni chu huat tak tein ka hua a: Mi dotu-ahte ka ruat hlawm a.	My hate for them is complete; my thoughts of them are as if they were making war on me.
Ipah ka bawhchhiatna chilh ani a, ka khawlohna i thui khâwm a.	My wrongdoing is corded up in a bag, and my sin is shut up safe.
Aw Pathian kan phaw ber, en teh, I hriak thiha hmêl hi en teh.	O God, let your eyes be on him who is our safe cover, and let your heart be turned to your king.
Jordan chhak lam Moab ramah he dan hi Mosian a puang tan ta a,	On the far side of Jordan in the land of Moab, Moses gave the people this law, saying,
A insik phui chiah avângin. A karah boruak pawh a lût thei lo.	One is so near to the other that no air may come between them.
Chutichuan a man a, a fawp a, Tlangnel tak hmêl puin a hnênah,	So she took him by his hand, kissing him, and without a sign of shame she said to him:
Mi ngaithla la, ka entir ang che, Ka hmuh chu ka puang dawn e:	Take note and give ear to my words; and I will say what I have seen:
Mi â chuan a kut a kuangkuah a, a intam hlum thin' tih a ni a.	The foolish man, folding his hands, takes the flesh of his body for food.
Mi hausa leh mi rethei an awm za a, An vaia siamtu LALPA a ni.	The man of wealth and the poor man come face to face: the Lord is the maker of them all.
Mi hausa chuan berâm rual tam tak leh ran rual tam tak anei a:	The man of wealth had great numbers of flocks and herds;
Ninevi khaw phur rit chu. Elkos mi Nahuma inlârna hmuh bu chu.	The word about Nineveh. The book of the vision of Nahum the Elkoshite.
Chung chuang nilengin tui angin mi vêl a; Mi hual vêl hlawm a.	They are round me all the day like water; they have made a circle about me.
A mi liante chu a duh duha phur tûr leh, A upaho tifing tûrin.	To give his chiefs teaching at his pleasure, and so that his law-givers might get wisdom from him.
Ngai rawh, Pathian chu chak tak a ni a, Tumah a hmusit mai lo;	Truly, God gives up the hard-hearted, and will not give life to the sinner.
Buai hun atân te leh Indo leh inbeih ni atân ka khek chu a ni.	Which I have kept for the time of trouble, for the day of war and fighting?
Chungte chuan kawng thima kal tûrin kawng dik chu an kalsan a;	Who give up the way of righteousness, to go by dark roads;
Chu mite chuan, Pathian awmnate chu luahsak ang u, an tih kha.	Who have said, Let us take for our heritage the resting-place of God.
Mi fingte remruat a phet chhia a, An kutin a tum a puitlin lo.	Who makes the designs of the wise go wrong, so that they are unable to give effect to their purposes.
Remhriatnain a veng ang chia, Hriatthiamnain a enkawl ang che;	Wise purposes will be watching over you, and knowledge will keep you;
I tawngka chhuakah i awk a, I tawngka chhuakin a man che a ni:	You are taken as in a net by the words of your mouth, the sayings of your lips have overcome you.
Chaute hnênah tui in tûr i pe lo va, Riltamte tan chaw i ui a.	You do not give water to the tired traveller, and from him who has no food you keep back bread.
In bawm leh in chhang hmehna thlengte ânchhe dawngin a awm ang.	A curse will be on your basket and on your bread-basin.
In thei kung zawng zawng leh in lei rah chu khau chan a ni ang.	All your trees and the fruit of your land will be the locust's.
Chuanna engpawhah thil pûta chu a chuan chuan a bawlhhlawh ang.	And any leather seat on a horse on which the unclean man has been seated will be unclean.
Tin, Surakus khua kan tlawh a, chutah chuan ni thum kan cham a.	And going into the harbour at Syracuse, we were waiting there for three days.
Tin, halral thilhlan chu a hlan a, a dan ang zelin a hlan a ni.	And he took the burned offering, offering it in the ordered way;
Tin, nausen thu a sawi chu a nu leh a pa chuan mak an ti hle a.	And his father and mother were full of wonder at the things which were said about him.
Kawl bun an lo nih a, Hnehchhiahna hruia phuar an lo nih chuan,	And if they have been prisoned in chains, and taken in cords of trouble,
Lal in Susan-ah chuan Judaten mi zanga an that a, an tiboral a.	And in Shushan the Jews put to death five hundred men.
Tin, Isaian Hezekia hnênah, LALPA thu hi lo ngaithla rawh khai.	And Isaiah said to Hezekiah, Give ear to the word of the Lord.
Tin, Isua chu aw ring takin a au leh a, a thlarau a thlah ta a.	And Jesus gave another loud cry, and gave up his spirit.
